stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
488,1081,"GROVE + BELMONT",,37.556347,-77.478337,,,,,,0
490,1083,"GROVE + ARTHUR ASHE BLVD",,37.554973,-77.474672,,,,,,0
539,2124,"ROBINSON + HANOVER",,37.554955,-77.471620,,,,,,0
540,1123,"GROVE + ROBINSON",,37.554257,-77.472335,,,,,,0
541,1084,"GROVE + BOULEVARD",,37.555115,-77.474783,,,,,,0
543,1082,"GROVE + BELMONT",,37.556287,-77.478042,,,,,,0
544,1143,"GROVE + TILDEN",,37.557300,-77.481000,,,,,,0
545,1124,"GROVE + ROSENEATH",,37.557928,-77.482643,,,,,,0
546,1117,"GROVE + NANSEMOND",,37.558615,-77.484543,,,,,,0
547,1140,"GROVE + THOMPSON",,37.559462,-77.486895,,,,,,0
548,1096,"GROVE + HAMILTON",,37.560716,-77.489392,,,,,,0
550,1109,"GROVE + MALVERN",,37.562068,-77.492268,,,,,,0
552,1129,"GROVE + SAUER",,37.563423,-77.495105,,,,,,0
554,1088,"GROVE + COMMONWEALTH",,37.564732,-77.497823,,,,,,0
555,1149,"GROVE + WESTMORELAND",,37.565447,-77.499325,,,,,,0
557,1085,"GROVE + BUNTING",,37.567227,-77.503068,,,,,,0
559,1102,"GROVE + LEXINGTON",,37.568788,-77.506390,,,,,,0
561,1126,"GROVE + ROSLYN ROAD",,37.570203,-77.509277,,,,,,0
563,1145,"GROVE + TUCKAHOE",,37.571447,-77.511930,,,,,,0
566,1131,"GROVE + SENECA",,37.572905,-77.515020,,,,,,0
568,1104,"GROVE + LIBBIE",,37.573075,-77.518287,,,,,,0
571,1142,"GROVE + THREE CHOPT",,37.572877,-77.523580,,,,,,0
574,2269,"TOWANA + THREE CHOPT",,37.577412,-77.526712,,,,,,0
577,585,"CAMPUS + BOSTWICK LANE",,37.579238,-77.532322,,,,,,0
579,9,"14TH + MAIN",,37.535270,-77.432233,,,,,,0
581,499,"BROAD + WILLOW LAWN SHOPPING CENTER",,37.582732,-77.495017,,,,,,0
582,474,"BROAD + STAPLES MILL",,37.581587,-77.493587,,,,,,0
586,2378,"WILLOW LAWN + SHELTER",,37.582978,-77.498363,,,,,,0
587,1328,"HENRICO HUMAN SERVICES",,37.628336,-77.509514,,,,,,0
588,1246,"HENRICO JUVENILE AND DOMESTIC RELATION COURTS",,37.630317,-77.511603,,,,,,0
590,1993,"PARHAM + HENRICO DOCTORS HOSPITAL",,37.630490,-77.527106,,,,,,0
593,409,"BROAD + CAROUSEL LANE",,37.628170,-77.533772,,,,,,0
594,491,"BROAD + WESTLAND SHOPPING CENTER",,37.625857,-77.531162,,,,,,0
595,422,"BROAD + ENTERPRISE PARKWAY",,37.624461,-77.529507,,,,,,0
596,438,"BROAD + HUNGARY SPRING",,37.621687,-77.526370,,,,,,0
597,496,"BROAD + WISTAR",,37.618815,-77.523982,,,,,,0
598,480,"BROAD + SUNNYBROOK",,37.615799,-77.522404,,,,,,0
600,420,"BROAD + EMERYWOOD PARKWAY",,37.610372,-77.519543,,,,,,0
601,424,"BROAD + ALTRIA",,37.600989,-77.514974,,,,,,0
602,356,"BROAD + HOME DEPOT",,37.597982,-77.513622,,,,,,0
603,456,"BROAD + MORNINGSIDE",,37.595095,-77.510223,,,,,,0
604,416,"BROAD + CRESTWOOD",,37.592197,-77.506645,,,,,,0
605,401,"BROAD + BREMO",,37.590863,-77.505049,,,,,,0
606,444,"BROAD + LAKE",,37.587015,-77.500333,,,,,,0
609,402,"BROAD + BREMO",,37.591321,-77.505156,,,,,,0
610,417,"BROAD + CRESTWOOD",,37.592888,-77.507050,,,,,,0
611,376,"BROAD + 6020 WEST BROAD",,37.595105,-77.509759,,,,,,0
612,378,"BROAD STREET & W CLUB",,37.597617,-77.512738,,,,,,0
613,404,"BROAD + BROOKFIELD",,37.601538,-77.514667,,,,,,0
614,429,"BROAD + GLENSIDE",,37.609176,-77.518493,,,,,,0
615,394,"BROAD + BETHLEHEM",,37.614423,-77.521298,,,,,,0
617,481,"BROAD + SUNNYBROOK",,37.617405,-77.522857,,,,,,0
619,408,"BROAD + CARDINAL",,37.620944,-77.525133,,,,,,0
628,2214,"STAPLES MILL RD + NORTHSIDE",,37.604441,-77.492696,,,,,,0
629,2203,"STAPLES MILL RD + ASPEN",,37.607594,-77.495057,,,,,,0
630,2220,"STAPLES MILL + TALLEY",,37.611560,-77.496058,,,,,,0
644,2202,"STAPLES MILL + AMTRAK",,37.617061,-77.498797,,,,,,0
646,2219,"STAPLES MILL + TALLEY",,37.611063,-77.496400,,,,,,0
647,2222,"STAPLES MILL + TOWNHOUSE",,37.606935,-77.495113,,,,,,0
648,2213,"STAPLES MILL + HAMLET CONDOS",,37.604524,-77.493330,,,,,,0
653,2455,"BROAD BETWEEN STILLMAN PKY AND PEMBERTON RD",,37.641383,-77.562355,,,,,,0
654,482,"BROAD & TANELORN",,37.639770,-77.558532,,,,,,0
655,478,"BROAD + SUNDANCE WAY",,37.638397,-77.555175,,,,,,0
656,489,"BROAD + TUCKERNUCK",,37.636590,-77.550730,,,,,,0
657,436,"BROAD + HOMEVIEW",,37.634157,-77.544573,,,,,,0
658,472,"BROAD + SKIPWITH",,37.632094,-77.539436,,,,,,0
659,411,"BROAD + CHANTILLY",,37.580186,-77.491893,,,,,,0
661,492,"BROAD + WESTMORELAND",,37.577932,-77.489168,,,,,,0
662,414,"BROAD + COMMONWEALTH",,37.576938,-77.487952,,,,,,0
664,451,"BROAD + MALVERN",,37.573043,-77.483223,,,,,,0
665,442,"BROAD + LAFAYETTE",,37.572075,-77.482123,,,,,,0
666,431,"BROAD + HAMILTON",,37.570429,-77.480178,,,,,,0
668,461,"BROAD + ROSENEATH",,37.567870,-77.477160,,,,,,0
669,487,"BROAD + TILDEN",,37.566618,-77.475658,,,,,,0
671,393,"BROAD + BELMONT",,37.564675,-77.473337,,,,,,0
676,2010,"GASKINS + MAYLAND (PARKING LOT)",,37.638783,-77.573585,,,,,,0
678,477,"BROAD + SUMMIT",,37.565255,-77.473615,,,,,,0
679,448,"BROAD + MACTAVISH",,37.566842,-77.475492,,,,,,0
680,462,"BROAD + ROSENEATH",,37.567970,-77.476827,,,,,,0
682,430,"BROAD + HAMILTON",,37.570597,-77.479942,,,,,,0
683,441,"BROAD + KENT",,37.571490,-77.480998,,,,,,0
684,443,"BROAD + LAFAYETTE",,37.572392,-77.482063,,,,,,0
685,494,"BROAD + WESTWOOD",,37.573465,-77.483318,,,,,,0
687,415,"BROAD + COMMONWEALTH",,37.576858,-77.487443,,,,,,0
688,493,"BROAD + WESTMORELAND",,37.578423,-77.489352,,,,,,0
690,412,"BROAD + CHANTILLY",,37.580547,-77.491893,,,,,,0
